RH Level,Unit,Part,Unit Name,Language Skill,Thinking Map Skill,Reading Skill,Grammar Skill,Project,Phonics Skill,Genres,Vocabulary Words,Related Words
4,8,1,Saving a Piece of the World (Social Studies) ,Express Opinions,Goal and Outcome,Review,Past Tense,Persuasive Presentation,,"Historical Fiction, Report",heritage hero president protect volunteer mission motive responsible service value,"motive, mission, responsible, hero, president, service, value, heritage, protect, volunteer, action, difference, gift, problem, receive, solution, kindness, need, understand, want, improve, individual, neighborhood, offer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur"
4,8,2,Saving a Piece of the World (Social Studies) ,Justify,Fact and Opinion,Review,Future Tense,Write a Literary Response,,"Historical Fiction, Historical Narrative",ancient civilization empire object record site courage official principle project risk,"project, official, ancient, courage, object, site, principle, record, civilization, risk, empire, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
5,1,1,Crossing Between Cultures (Social Studies) ,Ask for and Give Information,Character Development,Preview and Predict,Complete Sentences,Write a Personal Narrative essay,,"Diary, Oral History","country, culture, education, employment, immigration, opportunity, refuge, symbol, transition, translate","education, employment, symbol, refuge, immigration, translate, transition, opportunity, country, culture, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
5,1,2,Crossing Between Cultures (Social Studies) ,Ask and Answer Questions,Compare and Contrast,Monitor and Clarify,Compound Subjects,Interview,,"Biography, Blog","citizenship, custom, ethnic, foreign, origin, adapt, challenge, diversity, identity, society","citizenship, society, foreign, adapt, identity, origin, ethnic, diversity, custom, challenge, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer"
5,2,1,Catching the Light (Science) ,Give and Carry Out Commands,Character,Ask Questions,Kinds of Sentences,Write a Myth,,"Myth, Origin Myth","absorb, heat, reflect, thermal, transmit, assume, event, explanation, power, theory","event, reflect, absorb, thermal, theory, assume, heat, explanation, transmit, power, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
5,2,2,Catching the Light (Science) ,Verify,Goal and Outcome,Ask Questions,Compound and Complex Sentences,Instructions,,"Blog, How-To Article","circuit, conduct, current, electrical, insulate, solar, volt, watt, alternate, decrease, energy, obstacle, rely","solar, alternate, conduct, energy, rely, obstacle, watt, circuit, volt, electrical, insulate, current, decrease, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt"
5,3,1,Natures Webs (Science) ,Tell an Original Story,Plot,Determine Importance,Plural Nouns,Write an Interview,,"Realistic Fiction, Expository Nonfiction","carnivore, consumer, food chain, herbivore, omnivore, producer, cooperate, essential, partnership, store, transfer","cooperate, store, herbivore, omnivore, transfer, producer, consumer, essential, partnership, carnivore, chain, food, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt"
5,3,2,Natures Webs (Science) ,Engage in Conversation,Main Idea and Details,Determine Importance,More Plural Nouns,Panel Discussion,,"Interview, Science Article","chlorophyll, magnify, microscope, nutrients, photosynthesis, classify, investigate, observe, propose, specialize","specialize, magnify, photosynthesis, classify, observe, chlorophyll, nutrients, microscope, propose, investigate, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
5,4,1,Justice (Social Studies) ,Justify,Theme,Make Inferences,Present Tense Action Verbs,Write a Research Report,,"Tale, History Article","abolish, emancipation, escape, law, plantation, slavery, distinguish, equality, freedom, risk, route","freedom, abolish, equality, slavery, distinguish, plantation, law, escape, emancipation, route, risk, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
5,4,2,Justice (Social Studies) ,Negotiate,Sequence,Make Inferences,Forms of Be and Have,Give an oral narrative presentation,,"Biography, Social Studies Article","conditions, demands, labor, nonviolence, protest, strike, barriers, conflict, demonstrate, oppose, require","barriers, demands, conflict, protest, oppose, require, labor, strike, nonviolence, demonstrate, conditions, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
5,5,1,Every Drop (Science) ,Define and Explain,Main Idea and Details,Make Connections,Adjectives,Science Panel Discussion,,"Science Feature, Science Article","atmosphere, condensation, evaporation, fresh water, precipitation, runoff, water cycle, watershed","water, precipitation, evaporation, condensation, runoff, fresh, watershed, atmosphere, cycle, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter"
5,5,2,Every Drop (Science) ,Clarify,Character,Make Connections,Possessive Nouns and Adjectives,Write a Magazine Article,,"Realistic Fiction, Legend","aquifer, canal, channel, climate, course, gourd, region","channel, course, aquifer, gourd, canal, climate, region, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur"
5,6,1,The Wild West (Social Studies) ,Describe Experiences,Cause and Effect,Visualize,Pronoun Agreement,Give an Oral Report,,"History Article, Essay","construction, gold rush, ranching, reservation, settler","reservation, ranching, rush, gold, settler, construction, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state"
5,6,2,The Wild West (Social Studies) ,Express Opinions,Cause and Effect,Visualize,Different Kinds of Pronouns,Write a Narrative Poem,,"Play, Narrative Poem","boomtown, claim, ghost town, investor, limited resources, mining","town, investor, claim, ghost, mining, limited, boomtown, resources, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur"
5,7,1,Talking About Trash (Science) ,Persuade,Author's Viewpoint,Synthesize,Adverbs,Persuasive Presentation,,"Persuasive Article, Essay","plastic, pollution, recycle, reduce, renewable, reuse","reuse, plastic, reduce, recycle, pollution, renewable, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state"
5,7,2,Talking About Trash (Science) ,Make Comparisons,Goal and Outcome,Synthesize,Prepositional Phrases,Write a Persuasive Essay,,"Short Story, Poem","biodegradable, dispose, generate, landfill, transform","dispose, landfill, biodegradable, transform, generate, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance"
5,8,1,One Idea (Social Studies) ,Express Ideas,Steps in a Process,Review,Past Tense Verbs,Informational Presentation,,"Procedural Text, Newspaper Article","business, earnings, expenses, goods, income, profit, services","business, earnings, expenses, profit, services, income, goods, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur"
5,8,2,One Idea (Social Studies) ,Restate an Idea,Elements of Fiction,Review,Future Tense,Write a Procedure,,"Fiction, Magazine Article","borrow, credit, debt, entrepreneur, loan","loan, debt, borrow, credit, entrepreneur, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance"
6,1,1,The Power of Choice (Social Studies) ,Give Information,Main Idea,Preview and Predict,Complete Sentences,Narrative Presentation,,"Biography, Speech","capable, encounter, figure out, reputation, resistance, assumption, diverge, exclude, optional, potential","exclude, diverge, capable, potential, out, encounter, assumption, reputation, optional, figure, resistance, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
6,1,2,The Power of Choice (Social Studies) ,Ask and Answer Questions,Characters and Plot,Monitor,Subject-Verb Agreement,Write a Personal Narrative,,"Realistic Fiction, Biography","associate, confront, preservation, sensitive, tolerance, awareness, conform, intent, interaction, involve","involve, intent, associate, confront, conform, tolerance, sensitive, awareness, interaction, preservation, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,2,1,Survival (Science) ,Describe,Main Idea and Details,Visualize,Subject and Object Pronouns,Informational Presentation,,"Science Article, Science Feature","camouflage, deception, duplicate, mimic, parasite, variation, asset, convince, emerge, ensure, resemblance","parasite, asset, deception, convince, variation, resemblance, emerge, duplicate, camouflage, mimic, ensure, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
6,2,2,Survival (Science) ,Elaborate,Character,Visualize,Possessive Adjectives and Pronouns,Write an Expository Report,,"Adventure Story, Personal Narrative","exhaust, necessity, overcome, reliance, resourceful, concentrate, intense, motivation, resilience, resolve","overcome, intense, motivation, exhaust, necessity, concentrate, resilience, reliance, resolve, resourceful, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,3,1,Digging Up the Past (Social Studies) ,Define and Explain,Chronological Order,Ask Questions,Progressive Tenses,Panel Discussion,,Magazine Article,"archaeological, artifact, chronological, civilization, dynasty, pharaoh, tomb, analytical, depict, powerful","archaeological, depict, tomb, powerful, analytical, chronological, pharaoh, dynasty, artifact, civilization, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,3,2,Digging Up the Past (Social Studies) ,Engage in Discussion,Plot,Ask Questions,Modals,Write a Research Report,,"Diary, Historical Fiction","chamber, command, hieroglyphics, peer, plunder, procession, consider, contribute, impact, perspective","hieroglyphics, procession, contribute, consider, perspective, chamber, peer, plunder, command, impact, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer"
6,4,1,Our Diverse Earth (Science) ,Make an Argument,Author's Viewpoint,Make Connections,Adjectives and Adverbs,Persuasive Presentation,,"Environmental Report, Online Article","dependent, endangered, extinct, policy, recover, thrive, appeal, effective factor protection sustain","protection, dependent, policy, endangered, effective, appeal, recover, thrive, extinct, factor, sustain, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, form, freeze, liquid, melt, solid, temperature"
6,4,2,Our Diverse Earth (Science) ,Use Appropriate Language,Character's Viewpoints,Make Connections,Participial Phrases,Write an Argument,,"Realistic Fiction, Essay","deforestation, ecological, landscape, management, regulate, advocate, intervene, obligation, participate, utilize","advocate, intervene, ecological, utilize, regulate, obligation, management, participate, deforestation, landscape, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,5,1,A Time to Act (Social Studies) ,Ask for and Give Information,Relate Ideas,Determine Importance,Verb Tenses,News Report,,"History Article, Memoir","boycott demonstration discrimination integrate prejudice separate, endeavor, implement, inherent, position, react","demonstration, endeavor, discrimination, implement, position, separate, inherent, integrate, prejudice, boycott, react, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,5,2,A Time to Act (Social Studies) ,Express and Support Opinions,Theme,Summarize,Perfect Tense Verbs,Write an Argument,,"Biographical Fiction, Historical Fiction","declaration, defensively, humanity, indignation, innocence, authority, commitment, intention, presume, reinforce","humanity, intention, declaration, reinforce, innocence, defensively, presume, indignation, authority, commitment, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
6,6,1,Food for Thought (Science) ,Paraphrase,Plot and Characters,Make Inferences,Pronouns,Persuasive Presentation,,"Realistic Fiction, Interview","donate, equip, inspiration, nutritious, practical, welfare, devote, envision, eventually, incentive, supplement","devote, nutritious, incentive, practical, inspiration, donate, supplement, eventually, equip, envision, welfare, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
6,6,2,Food for Thought (Science) ,Persuade,Argument,Make Inferences,Different Kinds of Pronouns,Write an Editorial,,Persuasive Article,"controversy, crucial, eliminate, innovate, modified, gene, global, organic, poverty, production, virus","global, virus, controversy, organic, production, gene, modified, eliminate, innovate, crucial, poverty, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
6,7,1,Ancient China (Social Studies) ,Interpret Images,Relate Ideas,Draw Conclusions,Pronouns,Oral Report,,History Article,"ancestor, conquest, empire, infrastructure, revolt, aspect, assemble, domain, foundation, unify","revolt, foundation, conquest, aspect, assemble, unify, domain, infrastructure, ancestor, empire, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
